Source,Target,Freq
0,109,10
1,36,10
1,61,10
2,152,10
3,104,10
4,132,10
4,168,10
5,217,10
7,173,10
7,177,10
8,53,10
9,105,10
9,106,10
9,128,10
9,152,10
10,8,10
10,25,10
10,61,10
10,70,10
10,105,10
10,133,10
10,223,10
11,68,10
11,78,10
11,106,10
11,191,10
12,204,10
13,179,10
14,120,10
14,159,10
14,172,10
18,130,10
19,11,10
19,112,10
20,154,10
21,36,10
21,49,10
21,109,10
21,111,10
22,77,10
22,104,10
22,106,10
22,164,10
24,44,10
24,45,10
25,69,10
27,41,10
27,98,10
27,136,10
27,203,10
28,120,10
30,11,10
30,22,10
30,168,10
30,169,10
31,63,10
34,45,80
34,61,80
35,37,80
35,69,80
35,103,80
35,111,80
36,84,80
36,123,80
37,18,80
37,78,80
37,87,80
37,101,80
37,157,80
37,181,80
37,197,80
37,213,80
38,6,80
38,84,80
41,0,80
41,2,80
41,4,80
41,9,80
41,10,80
41,11,80
41,19,80
41,22,80
41,25,80
41,28,80
41,30,80
41,31,80
41,35,80
41,49,80
41,77,80
41,131,80
41,132,80
41,193,80
41,214,80
41,223,80
41,226,80
42,18,80
43,11,80
43,154,80
44,21,80
44,41,80
44,71,80
44,77,80
44,131,80
45,25,80
45,41,80
45,43,80
45,83,80
45,123,10
45,132,10
45,180,10
47,18,10
48,11,10
48,35,10
48,41,10
48,205,10
49,70,10
49,138,10
49,157,10
49,176,10
49,182,10
50,0,10
50,1,10
50,2,10
50,3,10
50,6,10
50,8,10
50,9,10
50,10,10
50,11,10
50,12,10
50,19,10
50,20,10
50,22,10
50,25,10
50,27,10
50,28,10
50,30,10
50,31,10
50,32,10
50,33,10
50,34,10
50,35,10
50,36,10
50,37,10
50,38,10
50,41,10
50,44,10
50,45,10
50,48,10
50,49,10
51,26,10
53,37,10
53,48,10
53,50,10
53,118,10
53,152,10
53,172,10
53,189,10
53,226,10
55,37,10
55,69,10
55,105,10
56,192,10
57,50,10
58,50,10
59,19,10
59,21,10
59,50,10
59,146,10
59,180,10
61,30,300
61,41,300
61,50,300
61,70,300
61,84,300
61,145,300
62,40,300
63,24,300
65,27,300
65,48,300
65,50,300
65,206,300
68,17,300
68,50,300
68,65,300
68,106,300
69,41,300
69,50,300
69,87,300
69,92,300
69,119,300
69,125,300
69,168,300
69,203,300
69,213,300
70,4,300
70,9,10
70,11,10
70,19,10
70,22,10
70,37,10
70,41,10
70,43,10
70,44,10
70,48,10
70,50,10
70,56,10
70,59,10
70,65,10
70,69,10
70,77,10
70,86,10
70,133,10
70,172,10
70,198,10
70,211,10
71,134,10
72,37,10
72,51,10
72,80,10
72,93,10
73,50,10
74,50,10
74,172,10
74,185,10
75,41,10
75,49,10
75,50,10
75,77,10
75,120,10
75,128,10
75,181,10
76,22,10
77,9,10
77,50,10
77,74,10
77,111,10
77,125,10
78,70,10
78,84,10
79,44,10
79,50,10
80,0,10
80,1,10
80,2,10
80,4,10
80,5,10
80,8,10
80,9,10
80,10,10
80,11,10
80,14,10
80,18,10
80,19,10
80,20,10
80,22,10
80,25,10
80,27,10
80,29,10
80,34,10
80,35,10
80,37,10
80,41,10
80,43,10
80,44,10
80,45,10
80,48,10
80,49,10
80,50,10
80,52,10
80,55,10
80,56,10
80,67,10
80,69,10
80,70,10
80,75,10
80,77,10
80,78,10
80,79,10
80,91,10
80,122,10
80,125,10
80,128,10
80,203,10
80,219,10
80,229,10
81,13,10
82,44,10
82,59,10
82,105,10
82,157,10
82,205,10
82,219,10
82,229,10
83,106,10
84,2,10
84,9,10
84,11,10
84,19,10
84,25,10
84,27,10
84,28,10
84,35,10
84,37,10
84,45,10
84,48,10
84,50,10
84,65,10
84,69,10
84,70,10
84,75,10
84,77,10
84,80,10
84,128,10
84,150,10
84,168,10
84,179,10
84,181,10
84,190,10
84,192,10
85,172,10
86,9,10
86,41,10
86,49,10
86,50,10
86,75,10
86,80,10
86,84,10
87,9,10
87,10,10
87,25,10
87,30,10
87,41,10
87,48,10
87,50,10
87,65,10
87,70,10
87,80,10
87,84,10
87,90,10
87,97,10
87,194,10
87,212,10
87,230,10
88,32,10
88,50,10
88,59,100
88,61,100
88,104,100
89,18,100
90,45,100
90,75,100
90,83,100
92,80,100
92,87,100
92,130,100
93,50,100
93,106,100
93,111,100
93,157,100
93,185,100
94,18,100
95,41,100
95,44,150
95,49,150
95,50,150
95,80,150
96,11,150
96,27,150
96,50,150
96,70,150
96,80,150
96,84,150
96,98,150
96,106,150
96,149,10
97,41,10
97,50,10
97,59,10
97,61,10
97,68,10
97,70,10
97,134,10
98,12,10
98,41,10
98,50,10
98,72,10
98,80,10
98,84,10
98,93,10
99,26,10
100,70,10
101,41,10
101,80,10
101,87,10
101,191,10
102,41,10
102,50,10
102,70,10
102,80,10
102,118,10
102,127,10
102,172,10
102,192,10
102,194,10
103,41,10
103,70,10
103,82,10
104,41,10
104,50,10
104,82,10
104,185,10
104,223,10
105,2,10
105,35,10
105,45,10
105,50,10
105,63,10
105,70,10
105,80,10
105,84,10
105,87,10
105,102,10
105,104,10
105,115,10
105,180,10
105,213,10
106,35,10
106,41,10
106,50,10
106,70,10
106,79,10
106,80,10
106,84,10
106,115,10
107,80,10
109,20,10
109,24,10
109,41,10
109,45,10
109,48,10
109,49,10
109,50,10
109,70,10
109,80,10
109,84,10
109,87,10
109,105,10
109,106,10
109,200,10
110,13,10
110,70,10
110,80,10
111,41,10
111,44,10
111,50,10
111,80,10
111,82,10
111,84,10
111,97,10
111,125,10
111,168,10
111,224,10
112,50,10
112,84,10
112,175,10
114,22,10
114,50,10
115,44,10
115,45,10
115,50,10
115,54,10
115,84,10
115,87,10
115,127,10
115,200,10
115,203,10
117,0,10
117,80,10
118,7,10
118,24,10
118,50,10
118,66,10
118,70,10
118,80,10
118,84,10
118,87,10
118,109,10
118,115,10
119,37,10
119,41,10
119,50,10
119,70,10
119,80,10
119,95,10
119,211,10
120,2,10
120,9,10
120,36,10
120,41,10
120,50,10
120,80,10
120,84,10
120,92,10
120,96,10
120,229,10
121,70,10
122,41,10
122,145,10
122,182,10
123,41,10
123,50,10
123,80,10
123,84,10
123,87,10
124,64,10
125,35,10
125,50,10
125,59,10
125,119,10
126,70,10
127,0,10
127,50,10
127,70,10
127,80,10
127,84,10
127,87,10
127,106,10
127,109,10
127,118,10
127,189,10
128,14,10
128,20,10
128,31,10
128,41,10
128,49,10
128,50,10
128,70,10
128,82,10
128,168,10
128,207,10
129,80,10
130,0,10
130,5,10
130,9,10
130,10,10
130,11,10
130,13,50
130,14,50
130,19,50
130,22,50
130,25,50
130,34,50
130,35,50
130,37,50
130,41,50
130,44,50
130,45,50
130,46,50
130,48,50
130,49,50
130,50,50
130,55,50
130,59,50
130,61,50
130,65,50
130,69,50
130,70,50
130,76,50
130,77,50
130,78,50
130,79,50
130,80,50
130,81,50
130,82,50
130,84,50
130,86,50
130,87,50
130,96,50
130,97,50
130,101,50
130,105,50
130,106,50
130,109,50
130,110,50
130,111,50
130,113,50
130,115,50
130,118,50
130,119,50
130,120,50
130,122,50
130,127,50
130,128,50
131,50,50
131,80,50
131,130,50
131,219,50
132,20,50
132,48,50
132,50,50
132,70,50
132,80,50
132,84,50
132,91,50
132,118,50
132,130,50
133,46,50
133,130,50
134,36,50
134,50,50
134,80,50
134,84,50
134,135,50
134,171,50
134,192,50
134,193,50
135,10,50
135,70,50
135,80,50
135,97,50
136,0,50
136,2,50
136,4,50
136,8,50
136,9,50
136,10,50
136,11,50
136,16,50
136,18,50
136,20,50
136,21,50
136,24,50
136,25,50
136,26,50
136,30,50
136,31,50
136,33,50
136,34,50
136,35,50
136,36,50
136,37,50
136,39,50
136,40,50
136,41,50
136,43,50
136,44,50
136,45,50
136,48,50
136,49,50
136,50,50
136,51,50
136,53,50
136,54,50
136,59,50
136,62,50
136,63,50
136,64,50
136,65,50
136,68,50
136,69,50
136,70,50
136,71,50
136,72,50
136,74,50
136,75,50
136,79,50
136,80,50
136,82,50
136,83,50
136,84,50
136,85,50
136,87,50
136,90,50
136,92,50
136,93,50
136,97,50
136,98,50
136,99,50
136,101,50
136,102,50
136,103,50
136,104,50
136,105,50
136,106,50
136,109,50
136,111,50
136,114,50
136,115,50
136,118,50
136,119,50
136,120,50
136,124,50
136,125,50
136,127,50
136,128,50
136,130,50
136,132,50
136,133,50
136,134,50
136,135,50
136,210,50
137,136,50
137,171,50
138,80,50
138,115,50
138,130,50
139,118,50
140,99,50
140,136,50
141,9,50
141,134,50
141,136,50
141,224,50
142,70,50
143,18,50
144,18,50
145,13,50
145,70,50
145,130,50
146,136,50
146,176,50
147,136,50
148,118,50
149,50,50
149,210,50
149,215,50
150,50,50
151,50,50
151,136,50
152,1,50
152,41,50
152,50,50
152,70,50
152,80,50
152,82,50
152,84,50
152,85,50
152,95,50
152,102,50
152,130,50
152,136,50
152,229,50
153,136,50
154,0,50
154,2,50
154,4,50
154,8,50
154,9,50
154,11,50
154,19,50
154,22,50
154,25,50
154,27,50
154,28,50
154,34,50
154,35,50
154,37,50
154,41,50
154,44,50
154,48,50
154,50,50
154,59,50
154,65,50
154,69,50
154,70,50
154,75,50
154,77,50
154,80,50
154,84,50
154,87,50
154,95,50
154,97,50
154,98,50
154,103,50
154,105,50
154,106,50
154,111,50
154,118,50
154,119,50
154,120,50
154,123,50
154,127,50
154,128,50
154,130,50
154,132,50
154,134,50
154,135,50
154,136,50
154,152,50
155,80,50
156,24,50
157,41,50
157,50,50
157,53,50
157,70,50
157,80,50
157,136,50
157,154,50
159,50,50
159,70,50
159,72,50
159,87,50
159,130,50
159,136,50
159,168,50
160,70,50
160,80,50
161,39,50
161,136,50
162,70,50
162,80,50
163,20,50
163,45,50
163,50,50
163,70,50
163,80,50
163,84,50
163,87,50
163,106,50
163,118,50
163,127,50
163,130,50
163,131,50
163,132,50
163,136,50
163,154,50
163,192,50
163,195,50
164,41,50
164,50,50
164,53,50
164,80,50
164,128,50
164,136,50
164,185,50
164,215,50
165,35,50
165,41,50
165,50,50
165,70,50
165,80,50
165,84,50
165,106,50
165,154,50
168,37,50
168,41,50
168,48,50
168,50,50
168,70,50
168,80,50
168,87,50
168,96,50
168,103,50
168,106,50
168,130,50
168,136,50
168,195,50
169,41,50
169,49,50
169,50,50
169,70,50
169,80,50
169,130,50
169,136,50
169,154,50
169,159,50
170,136,50
171,19,10
171,30,10
171,41,100
171,44,100
171,49,100
171,50,100
171,70,100
171,80,100
171,86,100
171,130,100
171,136,100
171,154,100
171,219,100
172,12,100
172,41,100
172,50,100
172,55,100
172,80,100
172,86,100
172,96,100
172,109,100
172,120,100
172,130,100
172,136,100
172,154,100
172,176,100
172,207,100
172,208,100
173,23,100
173,24,100
173,41,100
173,48,100
173,60,100
173,65,100
173,69,100
173,70,100
173,80,100
173,82,100
173,103,100
173,108,100
173,118,100
173,127,100
173,135,100
173,136,100
173,154,100
173,158,100
173,160,100
173,162,100
173,167,100
174,24,100
175,2,100
175,50,100
175,105,100
175,130,100
175,136,100
176,41,100
176,50,100
176,70,100
176,80,100
176,87,100
176,106,100
176,130,100
176,136,100
176,138,100
176,154,100
176,159,100
176,175,100
176,200,100
177,118,100
177,173,100
178,80,100
178,154,100
179,35,100
179,122,100
179,130,100
179,217,100
180,70,100
180,80,100
180,130,100
180,169,100
180,171,100
181,50,100
181,93,100
181,136,100
182,50,100
182,70,100
182,128,100
182,130,100
182,171,100
183,70,100
183,80,100
183,118,100
183,173,100
184,18,100
185,41,100
185,50,100
185,80,100
185,84,100
185,86,100
185,114,100
185,130,100
185,136,100
185,154,100
185,212,100
186,30,100
186,50,100
186,80,100
187,173,100
188,118,100
188,173,100
189,10,100
189,20,100
189,21,100
189,24,100
189,41,100
189,45,100
189,49,100
189,50,100
189,70,100
189,80,10
189,84,10
189,87,10
189,106,10
189,118,10
189,130,10
189,134,10
189,136,10
189,154,10
189,173,30
189,200,30
190,70,300
190,80,300
190,120,300
190,130,300
190,171,300
190,172,300
191,50,300
191,70,300
191,80,10
191,134,10
191,136,10
191,173,10
192,9,10
192,11,400
192,18,400
192,24,10
192,44,10
192,48,10
192,50,10
192,59,10
192,63,10
192,66,10
192,68,10
192,70,10
192,71,10
192,80,10
192,82,10
192,83,10
192,90,10
192,103,10
192,111,10
192,118,10
192,127,10
192,135,10
192,136,10
192,137,10
192,148,10
192,152,10
192,154,10
192,160,10
192,162,10
192,168,10
192,172,10
192,173,10
192,176,10
192,181,10
192,183,10
192,189,10
192,191,10
193,0,10
193,50,10
193,53,10
193,70,10
193,80,10
193,130,10
193,136,10
193,154,10
194,25,10
194,41,10
194,50,10
194,70,10
194,109,10
194,115,10
194,118,10
194,136,10
194,154,10
194,173,10
194,189,10
194,192,10
195,41,10
195,50,200
195,69,200
195,70,200
195,80,200
195,84,200
195,102,200
195,109,200
195,115,200
195,118,200
195,136,200
195,146,200
195,154,200
195,173,200
195,192,200
196,118,200
197,41,200
197,50,200
197,80,200
197,154,200
198,44,200
198,50,200
198,80,200
198,130,200
198,136,200
198,152,200
198,154,200
199,50,200
199,136,200
