ID,Label,Code,City,latitude,longitude,ToFly,Visits
0,Adams Field Airport,LIT,"Little Rock, AR",34.729444,-92.224444,0,105
1,Akron/canton Regional,CAK,"Akron/Canton, OH",40.916111,-81.442222,0,123
2,Albany International,ALB,Albany,42.733333,-73.8,0,129
3,Albemarle,CHO,Charlottesville,38.133333,-78.45,1,114
4,Albuquerque International,ABQ,Albuquerque,35.040278,-106.609167,0,105
5,Alexandria International,AEX,"Alexandria, LA",31.3275,-92.548611,0,93
6,Alpena County Regional,APN,Alpena,45.083333,-83.55,0,135
7,Arcata,ACV,Arcata,40.983333,-124.1,0,123
8,Asheville Regional Airport,AVL,Fletcher,35.436111,-82.541667,0,105
9,Austin-bergstrom International,AUS,Austin,30.194444,-97.67,1,90
10,Austin-straubel Field,GRB,Green Bay,44.483333,-88.133333,1,132
11,Baltimore/Washington International Thurgood Marshall,BWI,"Baltimore, MD",39.175278,-76.668333,0,117
12,Bangor International Airport,BGR,Bangor,44.8,-68.816667,0,135
13,Barkley Regional,PAH,"Paducah, KY",37.060278,-88.773056,0,111
14,Bay County,PFN,Panama City,30.216667,-85.683333,1,90
15,Bellingham,BLI,Bellingham,48.8,-122.533333,0,147
16,Bemidji,BJI,Bemidji,47.516667,-94.933333,0,144
17,Bert Mooney Airport,BTM,"Butte,",45.954722,-112.4975,0,138
18,Billings,BIL,Billings,45.8,-108.533333,0,138
19,Birmingham,BHM,Birmingham,33.566667,-86.75,0,102
20,Bishop International Airport,FNT,Flint,42.965556,-83.743611,0,129
21,Bismarck,BIS,Bismarck,46.783333,-100.75,0,141
22,Blue Grass,LEX,Lexington,38.036389,-84.605833,1,114
23,Bob Hope,BUR,Burbank,34.2,-118.35,0,102
24,Boise Air Terminal/Gowen Field,BOI,"Boise, ID",43.564444,-116.222778,0,132
25,Bradley International,BDL,"Windsor Locks, CT",41.938889,-72.683333,0,126
26,Brainerd Lakes Regional,BRD,"Brainerd, MN",46.401667,-94.135556,0,138
27,Buffalo Niagara International,BUF,"Buffalo, NY",42.940556,-78.732222,1,129
28,Burlington International,BTV,Burlington,44.471944,-73.153333,0,132
29,Bush Field,AGS,Augusta,33.366667,-81.966667,0,99
30,Capital City,LAN,Lansing,42.783333,-84.583333,0,129
31,Cedar Rapids,CID,Cedar Rapids,41.884722,-91.710833,0,126
32,Central Illinois Regional Airport at Bloomington-Normal,BMI,"Bloomington/Normal, IL",40.477222,-88.915833,0,120
33,Central Wisconsin,CWA,Wausau,44.769444,-89.683056,0,135
34,"Charleston, AFB Municipal",CHS,"Charleston, SC",32.898611,-80.040556,1,99
35,Charlotte Douglas,CLT,Charlotte,35.216667,-80.933333,0,105
36,Cherry Capital Airport,TVC,Traverse City,44.741389,-85.582222,0,135
37,Chicago O'hare International,ORD,"Chicago, Il",41.978611,-87.904722,1,126
38,Chippewa County,CIU,Sault Ste Marie,46.25,-84.466667,0,138
39,Chippewa Valley Regional Airport,EAU,"Eau Claire, WI",44.865833,-91.484167,0,135
40,Chisholm,HIB,Chisholm,47.383333,-92.833333,0,141
41,Cincinnati/northern Kentucky,CVG,"Covington, KY",39.048889,-84.667778,0,117
42,City County,HVR,Havre,48.55,-109.766667,0,147
43,Colorado Springs,COS,Colorado Springs,38.816667,-104.716667,0,117
44,Dallas/Fort Worth International,DFW,"Dallas, TX",32.896944,-97.038056,1,99
45,Dane County Regional,MSN,Madison,43.139722,-89.3375,0,129
46,Dannelly Fld,MGM,Montgomery,32.3,-86.4,0,96
47,Dawson Community,GDV,Glendive,47.133333,-104.683333,0,141
48,Denver International,DEN,Denver,39.861667,-104.673056,0,120
49,Des Moines International,DSM,"Des Moines, IA",41.533889,-93.663056,0,126
50,Detroit Metropolitan Wayne County,DTW,"Detroit, MI",42.2125,-83.353333,0,126
51,Devils Lake,DVL,Devils Lake,48.116667,-98.9,0,144
52,Dothan Arpt,DHN,Dothan,31.316667,-85.45,0,93
53,Duluth International,DLH,Duluth,46.833333,-92.183333,0,141
54,Eagle County,EGE,Vail/Eagle,39.633333,-106.916667,0,120
55,Eglin AFB,VPS,"Valparaiso, FL",30.483333,-86.525278,0,90
56,El Paso International Airport,ELP,El Paso,31.8,-106.383333,0,96
57,Elmira Corning Regional,ELM,"Corning, NY",42.166667,-76.9,0,126
58,Emmet County,PLN,Pellston,45.566667,-84.8,0,138
59,Eppley Airfield,OMA,Omaha,41.3,-95.9,1,123
60,Eugene,EUG,Eugene,44.116667,-123.216667,0,132
61,Evansville Regional Airport,EVV,"Evansville, IN",38.036944,-87.5325,0,114
62,Falls Intl,INL,International Falls,48.566667,-93.4,0,147
63,Fanning Field,IDA,Idaho Falls,43.516667,-112.066667,0,132
64,Fort Dodge Regional,FOD,"Fort Dodge, IA",42.551111,-94.191944,0,129
